Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.124,euclidean,10.3,0.12773327473170104
Sparsity_0.124,manhattan,6.05,0.04999999999999999
Sparsity_0.124,cosine,8.85,0.10942433098048308
Sparsity_0.124,minkowski_p0.5,4.65,0.1094243309804831
Sparsity_0.124,minkowski_p0.7,4.8,0.0917662935482247
Sparsity_0.124,minkowski_p4,11.1,0.09999999999999999
Sparsity_0.448,euclidean,9.05,0.1352385806055747
Sparsity_0.448,manhattan,6.0,0.0
Sparsity_0.448,cosine,8.6,0.15217718205053643
Sparsity_0.448,minkowski_p0.5,4.0,0.0
Sparsity_0.448,minkowski_p0.7,4.0,0.0
Sparsity_0.448,minkowski_p4,9.35,0.19567696257917164
Sparsity_0.482,euclidean,9.55,0.1534686664402456
Sparsity_0.482,manhattan,7.1,0.06882472016116853
Sparsity_0.482,cosine,8.45,0.1352385806055747
Sparsity_0.482,minkowski_p0.5,4.0,0.0
Sparsity_0.482,minkowski_p0.7,4.85,0.08191780219091252
Sparsity_0.482,minkowski_p4,10.35,0.1817314386381005
Sparsity_0.525,euclidean,8.95,0.04999999999999999
Sparsity_0.525,manhattan,5.25,0.1758438302346117
Sparsity_0.525,cosine,8.9,0.06882472016116853
Sparsity_0.525,minkowski_p0.5,4.0,0.0
Sparsity_0.525,minkowski_p0.7,4.0,0.0
Sparsity_0.525,minkowski_p4,8.25,0.14281014264436984
Sparsity_0.573,euclidean,10.5,0.1538967528127731
Sparsity_0.573,manhattan,5.8,0.0917662935482247
Sparsity_0.573,cosine,8.85,0.15
Sparsity_0.573,minkowski_p0.5,4.0,0.0
Sparsity_0.573,minkowski_p0.7,4.8,0.09176629354822469
Sparsity_0.573,minkowski_p4,11.0,0.0
Sparsity_0.617,euclidean,10.75,0.09933992677987828
Sparsity_0.617,manhattan,6.35,0.1094243309804831
Sparsity_0.617,cosine,8.95,0.1534686664402456
Sparsity_0.617,minkowski_p0.5,4.0,0.0
Sparsity_0.617,minkowski_p0.7,4.0,0.0
Sparsity_0.617,minkowski_p4,11.0,0.10259783520851541
Sparsity_0.668,euclidean,10.1,0.14327007988227577
Sparsity_0.668,manhattan,6.0,0.0
Sparsity_0.668,cosine,9.4,0.1685854460847049
Sparsity_0.668,minkowski_p0.5,4.0,0.0
Sparsity_0.668,minkowski_p0.7,4.0,0.0
Sparsity_0.668,minkowski_p4,9.8,0.11697953037312038
Sparsity_0.708,euclidean,10.0,0.0
Sparsity_0.708,manhattan,6.2,0.11697953037312035
Sparsity_0.708,cosine,8.9,0.09999999999999999
Sparsity_0.708,minkowski_p0.5,5.0,0.0
Sparsity_0.708,minkowski_p0.7,4.0,0.0
Sparsity_0.708,minkowski_p4,10.2,0.11697953037312038
Sparsity_0.762,euclidean,9.95,0.049999999999999996
Sparsity_0.762,manhattan,5.75,0.09933992677987828
Sparsity_0.762,cosine,8.6,0.1685854460847049
Sparsity_0.762,minkowski_p0.5,3.95,0.04999999999999999
Sparsity_0.762,minkowski_p0.7,4.0,0.0
Sparsity_0.762,minkowski_p4,10.05,0.11413288653790232
Sparsity_0.835,euclidean,10.45,0.1352385806055747
Sparsity_0.835,manhattan,5.45,0.11413288653790232
Sparsity_0.835,cosine,7.85,0.19567696257917164
Sparsity_0.835,minkowski_p0.5,3.0,0.0
Sparsity_0.835,minkowski_p0.7,4.95,0.04999999999999999
Sparsity_0.835,minkowski_p4,11.3,0.14689774459950383
Sparsity_0.902,euclidean,9.8,0.09176629354822469
Sparsity_0.902,manhattan,5.7,0.10513149660756936
Sparsity_0.902,cosine,7.95,0.18460484112942716
Sparsity_0.902,minkowski_p0.5,2.95,0.04999999999999999
Sparsity_0.902,minkowski_p0.7,4.0,0.0
Sparsity_0.902,minkowski_p4,9.75,0.09933992677987828
