Dataset,Distance,Mean_ARI,Std_Error,Mean_ARI_Stability,Std_Error_Stability,Mean_Homogeneity,Std_Error_Homogenity,Mean_Completeness,Std_Error_Completeness,Mean_V_Score,Std_Error_V_Score
Sparsity_0.124,euclidean,0.5835943196669274,0.002302587617390542,1.0,0.0,0.7055260467967144,0.000890231421171864,0.6081949321107825,0.00348070608504339,0.6531779046898072,0.0022919048824257297
Sparsity_0.124,manhattan,0.873206503851169,0.0017673011532809704,1.0,0.0,0.9315359063282003,0.0010853046100994172,0.8573978119920621,0.0026617646257505807,0.8929050524769057,0.00185223311412703
Sparsity_0.124,cosine,0.5893202479785389,0.0026865166765684084,1.0,0.0,0.7097649332068448,0.0018535052693032627,0.6216776186371072,0.0037452007274277567,0.6627439675040329,0.002748103886351392
Sparsity_0.124,minkowski_p0.5,0.9084760411422073,0.022142079384514363,1.0,0.0,0.9172007923881551,0.0167435439679624,0.9769130563878505,0.001924837533588196,0.9442367187719297,0.008291185325576274
Sparsity_0.124,minkowski_p0.7,0.9347011939205144,0.017959912075926888,1.0,0.0,0.9357776589654072,0.013407879028383711,0.9698703351756718,0.0022359065261798312,0.951217606935915,0.006326062959836109
Sparsity_0.124,minkowski_p4,0.45582468202151716,0.0031402030474061817,1.0,0.0,0.6004330474164743,0.0016845639981452108,0.4765889848726692,0.003061531125362687,0.531303412481776,0.0022317055191817324
Sparsity_0.448,euclidean,0.5642429605953764,0.0027093318411940404,0.7051138033798443,0.006388043921122131,0.6735134508679308,0.0021724840157608034,0.5950839667231299,0.0042932576182275846,0.6317319420351861,0.0028978251378936593
Sparsity_0.448,manhattan,0.6863646644532364,0.0009476169851286769,0.5958937624655177,0.0030037720240071956,0.7960654424248079,0.000634859878957511,0.8082978925754549,0.0035074544289334813,0.8020852706558349,0.002000454319129
Sparsity_0.448,cosine,0.5688780285621701,0.0034211358487286634,0.6733358289166954,0.0069629560667552924,0.680764019130456,0.0024631564334702716,0.6110870554975902,0.003493644677539558,0.6439317136575621,0.00239696947686955
Sparsity_0.448,minkowski_p0.5,0.77559283397964,2.54702629954375e-17,0.5146570540908828,2.54702629954375e-17,0.8153655304064392,2.54702629954375e-17,0.985277768932472,7.641078898631252e-17,0.8923050233860803,2.54702629954375e-17
Sparsity_0.448,minkowski_p0.7,0.7773220996447737,2.54702629954375e-17,0.5137036912556441,2.54702629954375e-17,0.8181483572041033,0.0,0.9886347072481074,5.0940525990875e-17,0.8953480664323472,5.0940525990875e-17
