Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.125,euclidean,7.1,0.09999999999999999
Sparsity_0.125,manhattan,6.2,0.0917662935482247
Sparsity_0.125,cosine,6.15,0.08191780219091253
Sparsity_0.125,minkowski_p0.1,3.95,0.04999999999999999
Sparsity_0.125,minkowski_p0.5,4.0,0.0
Sparsity_0.125,minkowski_p0.7,4.9,0.06882472016116853
Sparsity_0.125,minkowski_p4,7.4,0.22242680641174145
Sparsity_0.362,euclidean,8.5,0.1538967528127731
Sparsity_0.362,manhattan,5.05,0.04999999999999999
Sparsity_0.362,cosine,6.3,0.127733274731701
Sparsity_0.362,minkowski_p0.1,483.0,0.0
Sparsity_0.362,minkowski_p0.5,4.0,0.0
Sparsity_0.362,minkowski_p0.7,4.9,0.06882472016116853
Sparsity_0.362,minkowski_p4,8.55,0.11413288653790232
Sparsity_0.432,euclidean,8.05,0.1983484440653818
Sparsity_0.432,manhattan,5.95,0.04999999999999999
Sparsity_0.432,cosine,6.15,0.13128915456069917
Sparsity_0.432,minkowski_p0.1,698.0,0.0
Sparsity_0.432,minkowski_p0.5,4.0,0.0
Sparsity_0.432,minkowski_p0.7,4.0,0.0
Sparsity_0.432,minkowski_p4,7.45,0.16975214129336985
Sparsity_0.482,euclidean,7.0,0.0
Sparsity_0.482,manhattan,6.0,0.0
Sparsity_0.482,cosine,6.05,0.04999999999999999
Sparsity_0.482,minkowski_p0.1,838.8,0.0917662935482247
Sparsity_0.482,minkowski_p0.5,4.0,0.0
Sparsity_0.482,minkowski_p0.7,4.0,0.0
Sparsity_0.482,minkowski_p4,7.65,0.16662280124501821
Sparsity_0.539,euclidean,6.95,0.04999999999999999
Sparsity_0.539,manhattan,5.85,0.08191780219091252
Sparsity_0.539,cosine,6.05,0.11413288653790232
Sparsity_0.539,minkowski_p0.1,877.0,0.0
Sparsity_0.539,minkowski_p0.5,4.0,0.0
Sparsity_0.539,minkowski_p0.7,4.0,0.0
Sparsity_0.539,minkowski_p4,7.5,0.19867985355975656
Sparsity_0.595,euclidean,7.15,0.08191780219091252
Sparsity_0.595,manhattan,5.1,0.06882472016116851
Sparsity_0.595,cosine,6.25,0.16018081887929686
Sparsity_0.595,minkowski_p0.1,705.0,0.0
Sparsity_0.595,minkowski_p0.5,4.0,0.0
Sparsity_0.595,minkowski_p0.7,4.0,0.0
Sparsity_0.595,minkowski_p4,7.7,0.16383560438182507
Sparsity_0.651,euclidean,8.3,0.12773327473170104
Sparsity_0.651,manhattan,5.85,0.08191780219091253
Sparsity_0.651,cosine,6.5,0.11470786693528086
Sparsity_0.651,minkowski_p0.1,344.0,0.0
Sparsity_0.651,minkowski_p0.5,4.0,0.0
Sparsity_0.651,minkowski_p0.7,4.0,0.0
Sparsity_0.651,minkowski_p4,7.45,0.21119958133929795
Sparsity_0.694,euclidean,7.15,0.1094243309804831
Sparsity_0.694,manhattan,5.9,0.06882472016116853
Sparsity_0.694,cosine,6.0,0.0
Sparsity_0.694,minkowski_p0.1,24.0,0.0
Sparsity_0.694,minkowski_p0.5,3.9,0.06882472016116851
Sparsity_0.694,minkowski_p0.7,4.0,0.0
Sparsity_0.694,minkowski_p4,7.65,0.15
Sparsity_0.752,euclidean,6.85,0.08191780219091253
Sparsity_0.752,manhattan,5.2,0.0917662935482247
Sparsity_0.752,cosine,5.75,0.09933992677987828
Sparsity_0.752,minkowski_p0.1,16.0,0.0
Sparsity_0.752,minkowski_p0.5,3.0,0.0
Sparsity_0.752,minkowski_p0.7,4.0,0.0
Sparsity_0.752,minkowski_p4,7.9,0.14327007988227577
Sparsity_0.830,euclidean,6.5,0.11470786693528086
Sparsity_0.830,manhattan,5.9,0.06882472016116853
Sparsity_0.830,cosine,6.0,0.07254762501100116
Sparsity_0.830,minkowski_p0.1,13.0,0.0
Sparsity_0.830,minkowski_p0.5,2.0,0.0
Sparsity_0.830,minkowski_p0.7,4.75,0.09933992677987828
Sparsity_0.830,minkowski_p4,7.2,0.22478059477960655
Sparsity_0.900,euclidean,5.05,0.11413288653790232
Sparsity_0.900,manhattan,5.15,0.08191780219091253
Sparsity_0.900,cosine,4.05,0.04999999999999999
Sparsity_0.900,minkowski_p0.1,21.0,0.0
Sparsity_0.900,minkowski_p0.5,2.0,0.0
Sparsity_0.900,minkowski_p0.7,3.55,0.1352385806055747
Sparsity_0.900,minkowski_p4,6.65,0.19567696257917164
