Dataset,Distance,Mean_ARI,Std_Error,Mean_ARI_Stability,Std_Error_Stability,Mean_Homogeneity,Std_Error_Homogenity,Mean_Completeness,Std_Error_Completeness,Mean_V_Score,Std_Error_V_Score
Sparsity_0.125,euclidean,0.6031875682048147,0.008006393545957103,1.0,0.0,0.6600482850093288,0.006600186062827263,0.6108128390889979,0.004699943615376182,0.6343463694868531,0.0053196228242896075
Sparsity_0.125,manhattan,0.6389946844791903,0.0011536767279567638,1.0,0.0,0.6847326330952035,0.001129971674762253,0.6693362532207096,0.004439559163228481,0.6768464754114916,0.0027114875033521666
Sparsity_0.125,cosine,0.4858327343951735,0.005593455820047457,1.0,0.0,0.5491637903147362,0.003421745585764367,0.5283716231725422,0.007326187194420492,0.5381471341223341,0.004655747237880621
Sparsity_0.125,minkowski_p0.1,0.33141391057031133,0.028510753543182627,1.0,0.0,0.333417222390855,0.024178856351052092,0.6421137880714618,0.009096603191438684,0.4315863559934831,0.022576074378052313
Sparsity_0.125,minkowski_p0.5,0.5459899204682909,0.0009256099915528414,1.0,0.0,0.5608483603753294,0.0008561631024442056,0.7268938576957423,0.004557404897357627,0.6330862921834438,0.00216886047100801
Sparsity_0.125,minkowski_p0.7,0.6376380395386987,0.007945548878092705,1.0,0.0,0.6735062901723096,0.008624250574589109,0.6947395577754478,0.0040271291977479525,0.6832919408869129,0.005198252192136521
Sparsity_0.125,minkowski_p4,0.5665136272244362,0.0071165704450000715,1.0,0.0,0.6283114514786863,0.00756304073122029,0.5821002909064482,0.004595158682970571,0.6038242420471882,0.004876938320053147
Sparsity_0.362,euclidean,0.568780673084922,0.014965436259958184,0.7453946441774255,0.0203027450975334,0.6380519592537057,0.010695342473264334,0.5704214902661875,0.011224932522975819,0.601995373632012,0.010550462275387175
Sparsity_0.362,manhattan,0.6341778442138104,0.006121231309312985,0.786739304674122,0.007074687087922104,0.6758725492659987,0.006613891646264639,0.6563999641925815,0.002901371841928116,0.6657244947658895,0.004295060391626492
Sparsity_0.362,cosine,0.4843583181514169,0.007023122517744898,0.5313504164887768,0.003882680334805929,0.600121611569812,0.008385244915457094,0.5494005133183302,0.006775609069756068,0.5736012036138617,0.007457408545960043
Sparsity_0.362,minkowski_p0.1,0.34853476590944144,0.035597805319153075,0.3620205130777658,0.03287219734376488,0.3550317092292805,0.029297249654111117,0.6778978996191494,0.010391425294309222,0.45643026696774547,0.02790885002070654
Sparsity_0.362,minkowski_p0.5,0.5223242069734418,0.0013139060081691755,0.6266726971663197,0.0056812572099100705,0.546119851032566,0.0018437243322415933,0.6722133705152865,0.0036859582579866733,0.6024724572922352,0.0013308949913365023
Sparsity_0.362,minkowski_p0.7,0.6119442121052294,0.012348622630424893,0.7523609746593508,0.012790479000157427,0.6474250944050056,0.013090293445325925,0.6718476216257125,0.006466486322940887,0.6585016570573939,0.009176421142721313
Sparsity_0.362,minkowski_p4,0.5011010142851349,0.015491834776575975,0.6471248704070163,0.01487089139353881,0.5889182380408686,0.012327476258391827,0.5135609324174902,0.008588435952701685,0.5483838311783091,0.009930751134920934
Sparsity_0.432,euclidean,0.49271525011562706,0.016441607088318558,0.7511342913628606,0.022870817172573926,0.5688612622077179,0.013189423783641534,0.5185853595379679,0.010694796757095447,0.5423739720962334,0.011667942478041139
Sparsity_0.432,manhattan,0.5864010161919727,0.009783721562066292,0.7917951480598775,0.013207855909778307,0.6320595800714852,0.008993420927900887,0.6063298893244675,0.004997605192733572,0.6183673183486775,0.005977728452066841
Sparsity_0.432,cosine,0.41936116733814766,0.0073195290122949315,0.542160839245407,0.010186197974882405,0.5031176264770713,0.007643763270216366,0.4671030814414391,0.0065826934886685125,0.4839180391415683,0.006039482929858853
Sparsity_0.432,minkowski_p0.1,0.26946331898762643,0.01622441776246517,0.287890330421771,0.015400541255222906,0.27100965517483816,0.01394638933871205,0.6149080798016361,0.014007092785279156,0.3737477467264206,0.014131540568848614
Sparsity_0.432,minkowski_p0.5,0.5257872369472469,0.005329603472027505,0.6197859246161328,0.0066176763945127275,0.5435663561460701,0.004550212736593358,0.6649535944576608,0.006832373654652118,0.5978742548765446,0.004465788648129804
Sparsity_0.432,minkowski_p0.7,0.5653618457701457,0.01302836307931351,0.7206667983575596,0.01305127056539778,0.5968861711416127,0.013509692106462258,0.6396053399400001,0.003728653513437978,0.6165689342092556,0.008844941611978782
Sparsity_0.432,minkowski_p4,0.4271278099986895,0.011313794447589008,0.6752126074664453,0.015536890576789086,0.5088447952340015,0.008232037416669396,0.47012391533921705,0.008360263545549267,0.48835900794243364,0.007716797288296312
Sparsity_0.482,euclidean,0.5944320292636677,0.008138920180301448,0.8337345510876253,0.011580704736958755,0.638861240887263,0.008258911317520424,0.607737574693757,0.005924080760854966,0.6225014171786121,0.0062854296431145455
