Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.123,euclidean,7.95,0.04999999999999999
Sparsity_0.123,manhattan,5.0,0.0
Sparsity_0.123,cosine,7.35,0.13128915456069917
Sparsity_0.123,minkowski_p0.5,4.6,0.11239029738980327
Sparsity_0.123,minkowski_p0.7,5.0,0.0
Sparsity_0.123,minkowski_p4,8.0,0.0
Sparsity_0.497,euclidean,7.35,0.1094243309804831
Sparsity_0.497,manhattan,7.65,0.1094243309804831
Sparsity_0.497,cosine,7.85,0.24360235069300518
Sparsity_0.497,minkowski_p0.5,4.0,0.0
Sparsity_0.497,minkowski_p0.7,5.0,0.0
Sparsity_0.497,minkowski_p4,7.8,0.17167901505579045
Sparsity_0.523,euclidean,9.8,0.11697953037312038
Sparsity_0.523,manhattan,7.0,0.0
Sparsity_0.523,cosine,7.9,0.06882472016116853
Sparsity_0.523,minkowski_p0.5,4.0,0.0
Sparsity_0.523,minkowski_p0.7,4.65,0.1094243309804831
Sparsity_0.523,minkowski_p4,9.05,0.04999999999999999
Sparsity_0.562,euclidean,7.9,0.09999999999999999
Sparsity_0.562,manhattan,6.0,0.0
Sparsity_0.562,cosine,7.3,0.1468977445995038
Sparsity_0.562,minkowski_p0.5,4.0,0.0
Sparsity_0.562,minkowski_p0.7,5.0,0.0
Sparsity_0.562,minkowski_p4,7.95,0.04999999999999999
Sparsity_0.601,euclidean,7.55,0.11413288653790232
Sparsity_0.601,manhattan,6.8,0.0917662935482247
Sparsity_0.601,cosine,7.95,0.04999999999999999
Sparsity_0.601,minkowski_p0.5,4.0,0.0
Sparsity_0.601,minkowski_p0.7,4.8,0.0917662935482247
Sparsity_0.601,minkowski_p4,7.85,0.1094243309804831
Sparsity_0.636,euclidean,7.05,0.04999999999999999
Sparsity_0.636,manhattan,6.85,0.08191780219091253
Sparsity_0.636,cosine,7.15,0.15
Sparsity_0.636,minkowski_p0.5,4.0,0.0
Sparsity_0.636,minkowski_p0.7,4.7,0.10513149660756936
Sparsity_0.636,minkowski_p4,8.55,0.15346866644024557
Sparsity_0.683,euclidean,8.0,0.0
Sparsity_0.683,manhattan,5.0,0.0
Sparsity_0.683,cosine,6.8,0.1555973210430998
Sparsity_0.683,minkowski_p0.5,4.15,0.08191780219091253
Sparsity_0.683,minkowski_p0.7,4.0,0.0
Sparsity_0.683,minkowski_p4,7.25,0.09933992677987828
Sparsity_0.718,euclidean,7.95,0.04999999999999999
Sparsity_0.718,manhattan,5.0,0.0
Sparsity_0.718,cosine,6.15,0.13128915456069917
Sparsity_0.718,minkowski_p0.5,4.0,0.0
Sparsity_0.718,minkowski_p0.7,4.0,0.0
Sparsity_0.718,minkowski_p4,7.95,0.04999999999999999
Sparsity_0.767,euclidean,8.0,0.0
Sparsity_0.767,manhattan,4.95,0.04999999999999999
Sparsity_0.767,cosine,5.9,0.06882472016116853
Sparsity_0.767,minkowski_p0.5,4.0,0.0
Sparsity_0.767,minkowski_p0.7,4.0,0.0
Sparsity_0.767,minkowski_p4,8.35,0.15000000000000002
Sparsity_0.837,euclidean,7.8,0.0917662935482247
Sparsity_0.837,manhattan,5.0,0.0
Sparsity_0.837,cosine,5.95,0.11413288653790231
Sparsity_0.837,minkowski_p0.5,2.0,0.0
Sparsity_0.837,minkowski_p0.7,5.0,0.0
Sparsity_0.837,minkowski_p4,7.6,0.11239029738980327
Sparsity_0.904,euclidean,7.0,0.0
Sparsity_0.904,manhattan,4.75,0.09933992677987828
Sparsity_0.904,cosine,5.4,0.1521771820505364
Sparsity_0.904,minkowski_p0.5,4.0,0.0
Sparsity_0.904,minkowski_p0.7,4.0,0.0
Sparsity_0.904,minkowski_p4,7.7,0.10513149660756936
