Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.124,euclidean,10.3,0.10513149660756936
Sparsity_0.124,manhattan,9.05,0.08810878443570108
Sparsity_0.124,cosine,7.25,0.09933992677987828
Sparsity_0.124,minkowski_p0.5,7.7,0.10513149660756936
Sparsity_0.124,minkowski_p0.7,7.25,0.09933992677987828
Sparsity_0.124,minkowski_p4,10.0,0.0
Sparsity_0.448,euclidean,9.55,0.11413288653790232
Sparsity_0.448,manhattan,8.9,0.06882472016116853
Sparsity_0.448,cosine,6.85,0.08191780219091252
Sparsity_0.448,minkowski_p0.5,7.5,0.13572417850765922
Sparsity_0.448,minkowski_p0.7,7.9,0.16059101370939322
Sparsity_0.448,minkowski_p4,10.05,0.11413288653790232
Sparsity_0.482,euclidean,9.8,0.11697953037312035
Sparsity_0.482,manhattan,8.25,0.09933992677987828
Sparsity_0.482,cosine,7.2,0.0917662935482247
Sparsity_0.482,minkowski_p0.5,7.2,0.11697953037312035
Sparsity_0.482,minkowski_p0.7,8.1,0.06882472016116853
Sparsity_0.482,minkowski_p4,10.15,0.1094243309804831
Sparsity_0.525,euclidean,8.7,0.10513149660756936
Sparsity_0.525,manhattan,8.05,0.04999999999999999
Sparsity_0.525,cosine,7.05,0.11413288653790232
Sparsity_0.525,minkowski_p0.5,7.15,0.08191780219091252
Sparsity_0.525,minkowski_p0.7,7.8,0.0917662935482247
Sparsity_0.525,minkowski_p4,8.8,0.09176629354822469
Sparsity_0.573,euclidean,10.85,0.08191780219091252
Sparsity_0.573,manhattan,8.85,0.1817314386381005
Sparsity_0.573,cosine,7.25,0.12301048307916045
Sparsity_0.573,minkowski_p0.5,7.2,0.11697953037312035
Sparsity_0.573,minkowski_p0.7,7.9,0.06882472016116853
Sparsity_0.573,minkowski_p4,10.85,0.08191780219091252
Sparsity_0.617,euclidean,10.85,0.08191780219091252
Sparsity_0.617,manhattan,8.2,0.13764944032233706
Sparsity_0.617,cosine,7.25,0.14281014264436984
Sparsity_0.617,minkowski_p0.5,6.9,0.06882472016116853
Sparsity_0.617,minkowski_p0.7,7.05,0.04999999999999999
Sparsity_0.617,minkowski_p4,10.0,0.0
Sparsity_0.668,euclidean,9.75,0.12301048307916045
Sparsity_0.668,manhattan,9.1,0.12354415362426845
Sparsity_0.668,cosine,7.15,0.13128915456069917
Sparsity_0.668,minkowski_p0.5,7.0,0.0
Sparsity_0.668,minkowski_p0.7,7.85,0.16662280124501821
Sparsity_0.668,minkowski_p4,9.8,0.0917662935482247
Sparsity_0.708,euclidean,10.05,0.04999999999999999
Sparsity_0.708,manhattan,8.05,0.1352385806055747
Sparsity_0.708,cosine,7.4,0.11239029738980327
Sparsity_0.708,minkowski_p0.5,7.0,0.0
Sparsity_0.708,minkowski_p0.7,7.25,0.09933992677987828
Sparsity_0.708,minkowski_p4,9.85,0.08191780219091253
Sparsity_0.762,euclidean,9.85,0.08191780219091252
Sparsity_0.762,manhattan,8.35,0.16662280124501821
Sparsity_0.762,cosine,7.6,0.11239029738980327
Sparsity_0.762,minkowski_p0.5,7.0,0.0
Sparsity_0.762,minkowski_p0.7,7.4,0.11239029738980327
Sparsity_0.762,minkowski_p4,9.35,0.1094243309804831
Sparsity_0.835,euclidean,9.9,0.1762175688714022
Sparsity_0.835,manhattan,8.0,0.10259783520851541
Sparsity_0.835,cosine,7.3,0.10513149660756936
Sparsity_0.835,minkowski_p0.5,7.65,0.13128915456069917
Sparsity_0.835,minkowski_p0.7,7.65,0.13128915456069917
Sparsity_0.835,minkowski_p4,10.45,0.1352385806055747
Sparsity_0.902,euclidean,9.75,0.09933992677987828
Sparsity_0.902,manhattan,7.7,0.1468977445995038
Sparsity_0.902,cosine,6.85,0.18173143863810054
Sparsity_0.902,minkowski_p0.5,6.7,0.10513149660756936
Sparsity_0.902,minkowski_p0.7,6.95,0.04999999999999999
Sparsity_0.902,minkowski_p4,10.05,0.11413288653790232
