Dataset,Distance,Mean_ARI,Std_Error,Mean_ARI_Stability,Std_Error_Stability,Mean_Homogeneity,Std_Error_Homogenity,Mean_Completeness,Std_Error_Completeness,Mean_V_Score,Std_Error_V_Score
Sparsity_0.124,euclidean,0.5843513017435665,0.002453058366351419,1.0,0.0,0.7077444412828254,0.001164470941347464,0.6091189118723189,0.0031884501903775854,0.6546629044425125,0.002075043863897336
Sparsity_0.124,manhattan,0.6154543886608617,0.0005720397088033993,1.0,0.0,0.7269029319681526,0.0006841399004879715,0.6556829724585883,0.0010977027335660828,0.6894498290903153,0.0007638394035204277
Sparsity_0.124,cosine,0.5462977173135887,0.002694285495741494,1.0,0.0,0.658436462979251,0.0019976166496388716,0.584577342081346,0.0036550325526984832,0.6191868349537372,0.002345567170539532
Sparsity_0.124,minkowski_p0.5,0.6230159970487331,0.0003599023127174968,1.0,0.0,0.716733033893371,0.0006484482193252699,0.678545502354276,0.0013276533879925001,0.6970990355709861,0.0007043096270879876
Sparsity_0.124,minkowski_p0.7,0.6274963227012637,0.00026194658031523303,1.0,0.0,0.7215204761467175,0.0004641038165083169,0.6838283377811918,0.0009435536939489393,0.7021605888574719,0.0005227690156428026
Sparsity_0.124,minkowski_p4,0.552404064738421,0.004250260062052142,1.0,0.0,0.6825197837942558,0.0024823387822171454,0.570521100794757,0.004655845509966038,0.6214209097806992,0.003622050068737336
Sparsity_0.448,euclidean,0.5684554113635762,0.0020265764324536363,0.7675552096516932,0.0027228964098903923,0.6809968630542349,0.0019529466802376554,0.6005525303982424,0.0032188585404018307,0.6381835804129562,0.00237265174092742
Sparsity_0.448,manhattan,0.6008770520119417,0.003602092444184731,0.7316567450092946,0.005375544852396056,0.7022656455987246,0.0019229772942525977,0.6478454419447643,0.005467911187106778,0.6738297839644177,0.0037280272812988866
Sparsity_0.448,cosine,0.506934873490513,0.0037328218187545176,0.6003363110817288,0.005762846154106607,0.6182805493908661,0.00361125588452238,0.5508374606105687,0.002509333834672163,0.5825676560873069,0.0027918352323319335
Sparsity_0.448,minkowski_p0.5,0.6204976892868271,0.0019350166338445638,0.684709424890527,0.0019306688479760533,0.7055368003567775,0.0016105882117815465,0.6919531524746739,0.0026298152818218915,0.6986484118446923,0.0019389536459498008
Sparsity_0.448,minkowski_p0.7,0.6218362486917173,0.001671662317891656,0.7003674213006162,0.0026456711874645322,0.7104173804964067,0.0013232885456775402,0.6885090542412489,0.002481281886402794,0.6992447345065218,0.0015332919218098815
