Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.124,euclidean,9.0,0.0
Sparsity_0.124,manhattan,8.45,0.11413288653790232
Sparsity_0.124,cosine,8.9,0.12354415362426845
Sparsity_0.124,minkowski_p0.5,7.2,0.13764944032233703
Sparsity_0.124,minkowski_p0.7,7.9,0.06882472016116853
Sparsity_0.124,minkowski_p4,8.6,0.11239029738980327
Sparsity_0.535,euclidean,8.9,0.06882472016116851
Sparsity_0.535,manhattan,9.0,0.16222142113076252
Sparsity_0.535,cosine,8.25,0.14281014264436984
Sparsity_0.535,minkowski_p0.5,5.75,0.09933992677987828
Sparsity_0.535,minkowski_p0.7,6.95,0.04999999999999999
Sparsity_0.535,minkowski_p4,8.9,0.19056702094980707
Sparsity_0.563,euclidean,8.0,0.0
Sparsity_0.563,manhattan,7.0,0.12565617248750863
Sparsity_0.563,cosine,7.15,0.08191780219091252
Sparsity_0.563,minkowski_p0.5,6.75,0.09933992677987828
Sparsity_0.563,minkowski_p0.7,6.8,0.0917662935482247
Sparsity_0.563,minkowski_p4,8.6,0.11239029738980327
Sparsity_0.600,euclidean,8.95,0.04999999999999999
Sparsity_0.600,manhattan,8.85,0.08191780219091252
Sparsity_0.600,cosine,8.65,0.13128915456069917
Sparsity_0.600,minkowski_p0.5,6.7,0.10513149660756936
Sparsity_0.600,minkowski_p0.7,7.85,0.08191780219091252
Sparsity_0.600,minkowski_p4,8.4,0.15217718205053643
Sparsity_0.630,euclidean,9.05,0.1534686664402456
Sparsity_0.630,manhattan,6.75,0.09933992677987828
Sparsity_0.630,cosine,8.35,0.1094243309804831
Sparsity_0.630,minkowski_p0.5,6.0,0.0
Sparsity_0.630,minkowski_p0.7,6.0,0.0
Sparsity_0.630,minkowski_p4,10.2,0.1555973210430998
Sparsity_0.661,euclidean,8.3,0.10513149660756936
Sparsity_0.661,manhattan,8.6,0.1521771820505364
Sparsity_0.661,cosine,7.75,0.12301048307916045
Sparsity_0.661,minkowski_p0.5,5.35,0.13128915456069917
Sparsity_0.661,minkowski_p0.7,6.35,0.1094243309804831
Sparsity_0.661,minkowski_p4,8.0,0.0
Sparsity_0.699,euclidean,8.8,0.11697953037312038
Sparsity_0.699,manhattan,7.2,0.09176629354822469
Sparsity_0.699,cosine,8.8,0.17167901505579042
Sparsity_0.699,minkowski_p0.5,6.6,0.11239029738980327
Sparsity_0.699,minkowski_p0.7,7.0,0.0
Sparsity_0.699,minkowski_p4,8.5,0.11470786693528086
Sparsity_0.731,euclidean,8.05,0.1352385806055747
Sparsity_0.731,manhattan,7.75,0.09933992677987828
Sparsity_0.731,cosine,7.85,0.13128915456069917
Sparsity_0.731,minkowski_p0.5,6.5,0.11470786693528086
Sparsity_0.731,minkowski_p0.7,7.15,0.08191780219091253
Sparsity_0.731,minkowski_p4,8.0,0.1777046633277277
Sparsity_0.775,euclidean,9.0,0.0
Sparsity_0.775,manhattan,8.45,0.11413288653790232
Sparsity_0.775,cosine,8.75,0.09933992677987828
Sparsity_0.775,minkowski_p0.5,6.15,0.08191780219091252
Sparsity_0.775,minkowski_p0.7,7.0,0.07254762501100116
Sparsity_0.775,minkowski_p4,8.75,0.09933992677987828
Sparsity_0.840,euclidean,8.95,0.04999999999999999
Sparsity_0.840,manhattan,7.95,0.049999999999999996
Sparsity_0.840,cosine,8.4,0.11239029738980327
Sparsity_0.840,minkowski_p0.5,5.8,0.11697953037312035
Sparsity_0.840,minkowski_p0.7,7.3,0.127733274731701
Sparsity_0.840,minkowski_p4,8.95,0.08810878443570108
Sparsity_0.905,euclidean,8.85,0.08191780219091252
Sparsity_0.905,manhattan,8.1,0.09999999999999999
Sparsity_0.905,cosine,8.55,0.1352385806055747
Sparsity_0.905,minkowski_p0.5,5.35,0.1094243309804831
Sparsity_0.905,minkowski_p0.7,7.25,0.1902214775631705
Sparsity_0.905,minkowski_p4,8.5,0.11470786693528086
